p1,p2,p3,p4,p5,counts,norm_counts
3309829,,,,,26408,0.3049810022058229
1446874,3309829.0,,,,18949,0.21883842058460082
3131342,3309829.0,,,,3642,0.042060769843744586
3491733,3309829.0,,,,1744,0.020141126471029808
4808255,1446874.0,3309829.0,,,1531,0.017681229717400593
2327105,3309829.0,,,,796,0.00919285359572232
1169730,,,,,660,0.007622215292935592
3607105,3309829.0,,,,595,0.006871542574691935
3076713,3309829.0,,,,497,0.005739759091801499
2431715,3309829.0,,,,337,0.003891949323817113
4390069,3309829.0,,,,291,0.003360704015521602
1774978,3309829.0,,,,258,0.0029795932508748227
4507582,1446874.0,3309829.0,,,254,0.0029333980066752127
4751949,3309829.0,,,,249,0.0028756539514257005
4929981,1446874.0,3309829.0,,,243,0.002806361085126286
3202180,3309829.0,,,,236,0.0027255194077769693
505692,1446874.0,3309829.0,,,225,0.0025984824862280427
4916963,1446874.0,3309829.0,,,174,0.0020094931226830198
2203304,1446874.0,3309829.0,,,167,0.0019286514453337028
4935383,4928869.0,,,,140,0.0016168335469863378
4926933,1446874.0,3309829.0,,,132,0.0015244430585871186
4790788,2327105.0,3309829.0,,,131,0.001512894247537216
2943071,3309829.0,,,,118,0.0013627597038884847
2826817,1446874.0,3309829.0,,,115,0.0013281132707387774
1446876,3309829.0,,,,111,0.0012819180265391677
3825294,3309829.0,,,,108,0.0012472715933894605
4505640,1446874.0,3309829.0,,,106,0.0012241739712896558
4806049,1446874.0,3309829.0,,,97,0.001120234671840534
3309828,,,,,86,0.0009931977502916074
1426091,3309829.0,,,,86,0.0009931977502916074
4743585,3131342.0,3309829.0,,,84,0.0009701001281918027
1446875,3309829.0,,,,79,0.0009123560729422906
2815167,3309829.0,,,,76,0.0008777096397925833
1786048,1446874.0,3309829.0,,,72,0.0008315143955929737
4797340,1446874.0,3309829.0,,,66,0.0007622215292935593
4629858,1446874.0,3309829.0,,,65,0.0007506727182436568
4648145,1446874.0,3309829.0,,,63,0.0007275750961438519
4803429,,,,,59,0.0006813798519442423
3681588,1446874.0,3309829.0,,,58,0.00066983104089434
790183,3309829.0,,,,58,0.00066983104089434
1312387,3309829.0,,,,57,0.0006582822298444375
4664294,3309829.0,,,,55,0.0006351846077446327
1429517,3309829.0,,,,53,0.0006120869856448279
3588903,1446874.0,3309829.0,,,52,0.0006005381745949255
1446874,3309828.0,,,,50,0.0005774405524951206
955579,3309829.0,,,,49,0.0005658917414452182
234740,3309829.0,,,,49,0.0005658917414452182
4926501,,,,,49,0.0005658917414452182
3177766,3309829.0,,,,48,0.0005543429303953158
1309764,,,,,43,0.0004965988751458037
1801221,1446874.0,3309829.0,,,42,0.00048505006409590133
4877348,3309829.0,,,,41,0.0004735012530459989
2383299,1446874.0,3309829.0,,,41,0.0004735012530459989
3868226,3309829.0,,,,41,0.0004735012530459989
3940309,3309829.0,,,,41,0.0004735012530459989
1446874,,,,,38,0.00043885481989629167
4638411,1446874.0,3309829.0,,,37,0.00042730600884638924
1446877,3309829.0,,,,36,0.00041575719779648687
1602517,3309829.0,,,,36,0.00041575719779648687
4903123,3309829.0,,,,35,0.00040420838674658444
848080,1446874.0,3309829.0,,,35,0.00040420838674658444
1424619,3309829.0,,,,34,0.000392659575696682
3951353,3131342.0,3309829.0,,,33,0.00038111076464677964
520762,,,,,33,0.00038111076464677964
4790597,1446874.0,3309829.0,,,33,0.00038111076464677964
4861436,1446874.0,3309829.0,,,32,0.0003695619535968772
4396329,1446874.0,3309829.0,,,32,0.0003695619535968772
1729248,1446874.0,3309829.0,,,32,0.0003695619535968772
4919011,,,,,29,0.00033491552044717
1403171,3202180.0,3309829.0,,,29,0.00033491552044717
3309827,,,,,28,0.00032336670939726755
4913336,,,,,28,0.00032336670939726755
3897230,3491733.0,3309829.0,,,27,0.0003118178983473651
4676793,,,,,27,0.0003118178983473651
1587789,,,,,26,0.00030026908729746275
1285237,1446874.0,3309829.0,,,26,0.00030026908729746275
4213676,3309829.0,,,,25,0.0002887202762475603
300454,4924402.0,3309829.0,,,25,0.0002887202762475603
3035617,1446874.0,3309829.0,,,25,0.0002887202762475603
302428,3309829.0,,,,24,0.0002771714651976579
131580,1446874.0,3309829.0,,,24,0.0002771714651976579
4879578,1446874.0,3309829.0,,,24,0.0002771714651976579
4661399,1446874.0,3309829.0,,,23,0.00026562265414775547
2260337,3309829.0,,,,23,0.00026562265414775547
9099,3131342.0,3309829.0,,,23,0.00026562265414775547
1838750,3309829.0,,,,23,0.00026562265414775547
4807624,,,,,22,0.0002540738430978531
4056846,1446874.0,3309829.0,,,22,0.0002540738430978531
3045216,1446874.0,3309829.0,,,22,0.0002540738430978531
816227,1446874.0,3309829.0,,,22,0.0002540738430978531
200449,2327105.0,3309829.0,,,21,0.00024252503204795066
4799349,1446874.0,3309829.0,,,21,0.00024252503204795066
4227560,3309829.0,,,,20,0.00023097622099804826
3079228,,,,,20,0.00023097622099804826
3695507,1446874.0,3309829.0,,,20,0.00023097622099804826
4808256,1446874.0,3309829.0,,,20,0.00023097622099804826
1963096,3309829.0,,,,20,0.00023097622099804826
4866256,1446874.0,3309829.0,,,19,0.00021942740994814584
860635,3309829.0,,,,19,0.00021942740994814584
4626991,3491733.0,3309829.0,,,19,0.00021942740994814584
4916182,3309829.0,,,,18,0.00020787859889824343
3623149,4808255.0,1446874.0,3309829.0,,18,0.00020787859889824343
2326417,1446874.0,3309829.0,,,18,0.00020787859889824343
3673885,3309829.0,,,,18,0.00020787859889824343
3131342,3309828.0,,,,18,0.00020787859889824343
994476,1446874.0,3309829.0,,,18,0.00020787859889824343
3131341,3309829.0,,,,17,0.000196329787848341
776034,1446874.0,3309829.0,,,17,0.000196329787848341
